,_id,username,tweet,sentiment.neg,sentiment.neu,sentiment.pos,sentiment.compound
25,1525612988115320838,elonmusk,"Very important to fix your Twitter feed:

1. Tap home button.
2. Tap stars on upper right of screen.
3. Select “Latest tweets”.

You are being manipulated by the algorithm in ways you don’t realize.

Easy to switch back &amp; forth to see the difference.",0.052,0.847,0.101,0.3384
26,1525550091586506752,elonmusk,"At least, that’s what the lib hivemind thinks haha",0.0,0.727,0.273,0.4588
27,1525549535786717184,elonmusk,Whoever thought owning the libs would be cheap never tried to acquire a social media company!,0.0,1.0,0.0,0.0
28,1525305145239781377,elonmusk,The bots are angry at being counted 🤣,0.2,0.606,0.194,-0.0258
29,1525291586669531137,elonmusk,"To find out, my team will do a random sample of 100 followers of @twitter. 

I invite others to repeat the same process and see what they discover …",0.0,0.946,0.054,0.1531
30,1525080945274998785,elonmusk,Still committed to acquisition,0.0,0.588,0.412,0.2732
31,1525049369552048129,elonmusk,"Twitter deal temporarily on hold pending details supporting calculation that spam/fake accounts do indeed represent less than 5% of users
https://t.co/Y2t0QMuuyn",0.0,0.873,0.127,0.4404
32,1525029640808476673,elonmusk,The straw war is emblematic of larger social issues,0.328,0.672,0.0,-0.5994
33,1524930630990974976,elonmusk,How did it even start?,0.0,1.0,0.0,0.0
34,1524925223027388416,elonmusk,The last straw was the last straw!,0.0,1.0,0.0,0.0
35,1524924666942349312,elonmusk,Stop the war on straws! https://t.co/aHv7uvm17D,0.615,0.385,0.0,-0.75
36,1524911860037963776,elonmusk,Updated Starlink availability by region https://t.co/uxLqoNpr7M,0.0,1.0,0.0,0.0
37,1524883482836623373,elonmusk,"Biden’s mistake is that he thinks he was elected to transform the country, but actually everyone just wanted less drama",0.082,0.918,0.0,-0.1779
38,1524881263470993435,elonmusk,"Even though I think a less divisive candidate would be better in 2024, I still think Trump should be restored to Twitter",0.0,0.791,0.209,0.6486
39,1524877470343766017,elonmusk,Don’t Diss Information,0.0,1.0,0.0,0.0
40,1524546271964504066,elonmusk,Tap on the stars in upper right of screen to revert to chronological,0.0,1.0,0.0,0.0
41,1524546085590646786,elonmusk,Chronological tweets seem much better than what “the algorithm” suggests,0.0,0.756,0.244,0.4404
42,1524470633349922822,elonmusk,https://t.co/CWWDdur0oz,0.0,1.0,0.0,0.0
43,1524191785760788480,elonmusk,"Starlink has resisted Russian cyberwar jamming &amp; hacking attempts so far, but they’re ramping up their efforts https://t.co/w62yCsDA5w",0.0,1.0,0.0,0.0
44,1523658010241155073,elonmusk,Chocolate milk is insanely good. Just had some.,0.0,0.707,0.293,0.4404
45,1523622304592187392,elonmusk,There are no angels in war,0.604,0.396,0.0,-0.7269
46,1523465632502906880,elonmusk,"If I die under mysterious circumstances, it’s been nice knowin ya",0.248,0.573,0.178,-0.2732
47,1523464037048020992,elonmusk,The word “Nazi” doesn’t mean what he seems to think it does https://t.co/pk9SQhBOsG,0.0,1.0,0.0,0.0
48,1523462998081572864,elonmusk,.@Rogozin sent this to Russian media https://t.co/eMI08NnSby,0.0,1.0,0.0,0.0
49,1522918526520070144,elonmusk,"Also, work ethic expectations would be extreme, but much less than I demand of myself",0.088,0.912,0.0,-0.0911
50,1522609829553971200,elonmusk,"I strongly believe that all managers in a technical area must be technically excellent. 

Managers in software must write great software or it’s like being a cavalry captain who can’t ride a horse!",0.0,0.696,0.304,0.9134
51,1522600366474358786,elonmusk,Another Starlink mission completed https://t.co/8ZUeQtTegE,0.0,1.0,0.0,0.0
52,1522595770288906242,elonmusk,"If Twitter acquisition completes, company will be super focused on hardcore software engineering, design, infosec &amp; server hardware https://t.co/m2HseK0TXl",0.0,0.723,0.277,0.7579
53,1521950798745194496,elonmusk,Interesting. I wonder if those funding these organizations are fully aware of what the organizations are doing. https://t.co/YzVZIvF68E,0.0,0.863,0.137,0.4019
54,1521807738317066240,elonmusk,I dunno … seems kinda fungible,0.0,1.0,0.0,0.0
55,1521630589710872576,elonmusk,"Twitter will always be free for casual users, but maybe a slight cost for commercial/government users",0.0,0.798,0.202,0.3716
56,1521580576297398274,elonmusk,"Ultimately, the downfall of the Freemasons was giving away their stonecutting services for nothing",0.0,0.844,0.156,0.34
57,1521574200183566338,elonmusk,Sunlight is the best disinfectant,0.0,0.488,0.512,0.6369
58,1521574041814978562,elonmusk,"Who funds these organizations that want to control your access to information? Let’s investigate …
https://t.co/dBFsGjOMC8",0.0,0.92,0.08,0.0772
59,1521202951230046210,elonmusk,As I was saying … https://t.co/tsGz6fCWuW,0.0,1.0,0.0,0.0
60,1521190864592293891,elonmusk,"the elusive beauty of imperfection

侘寂",0.0,0.568,0.432,0.5859
61,1520650036865949696,elonmusk,"Since I’ve been asked a lot:

Buy stock in several companies that make products &amp; services that *you* believe in.

Only sell if you think their products &amp; services are trending worse. Don’t panic when the market does.

This will serve you well in the long-term.",0.124,0.835,0.041,-0.6486
62,1520021098934554624,elonmusk,"But I’m no fan of the far right either. 

Let’s have less hate and more love.",0.268,0.494,0.237,0.048
63,1520017094007476224,elonmusk,"The far left hates everyone, themselves included!",0.347,0.653,0.0,-0.4926
64,1519783048228843521,elonmusk,"“Real magic is only a sip away.”
(Actual slogan of Coca-Cola!!) 🤣🤣",0.0,0.731,0.269,0.7896
65,1519781958578016256,elonmusk,.@CocaCola Oh hi lol https://t.co/VhhVM9GzLJ,0.0,0.588,0.412,0.4215
66,1519735033950470144,elonmusk,https://t.co/Q9OjlJhi7f,0.0,1.0,0.0,0.0
67,1519495982723084290,elonmusk,"Listen, I can’t do miracles ok https://t.co/z7dvLMUXy8",0.0,0.732,0.268,0.296
68,1519495072802390016,elonmusk,Let’s make Twitter maximum fun!,0.0,0.527,0.473,0.5562
69,1519480761749016577,elonmusk,Next I’m buying Coca-Cola to put the cocaine back in,0.0,1.0,0.0,0.0
70,1519469891455234048,elonmusk,"Twitter DMs should have end to end encryption like Signal, so no one can spy on or hack your messages",0.108,0.783,0.109,0.0018
71,1519415674111672325,elonmusk,"For Twitter to deserve public trust, it must be politically neutral, which effectively means upsetting the far right and the far left equally",0.106,0.683,0.212,0.4767
72,1519377424437243904,elonmusk,https://t.co/1CE7rjBrNH,0.0,1.0,0.0,0.0
73,1519367926708588545,elonmusk,Should be called Trumpet instead!,0.0,1.0,0.0,0.0
74,1519363666377908225,elonmusk,Truth Social (terrible name) exists because Twitter censored free speech,0.288,0.368,0.344,0.2263
75,1519179787163652099,elonmusk,Truth Social is currently beating Twitter &amp; TikTok on the Apple Store https://t.co/RxawVUAYKH,0.184,0.675,0.141,-0.1779
76,1519047548509466624,elonmusk,Per aspera ad astra!,0.0,1.0,0.0,0.0
77,1519046094461702145,elonmusk,"Raptor 2 rocket engines at Starbase, each producing over half a million pounds (230 tons) of force https://t.co/9ixxXXceG3",0.0,1.0,0.0,0.0
78,1519036983137509376,elonmusk,"By “free speech”, I simply mean that which matches the law. 

I am against censorship that goes far beyond the law. 

If people want less free speech, they will ask government to pass laws to that effect.

Therefore, going beyond the law is contrary to the will of the people.",0.0,0.918,0.082,0.5118
79,1519020176884305920,elonmusk,The extreme antibody reaction from those who fear free speech says it all,0.183,0.629,0.189,0.0258
80,1518677066325053441,elonmusk,🚀💫♥️ Yesss!!! ♥️💫🚀 https://t.co/0T9HzUHuh6,0.199,0.315,0.486,0.8164
81,1518623997054918657,elonmusk,"I hope that even my worst critics remain on Twitter, because that is what free speech means",0.247,0.51,0.243,-0.0258
82,1518614732839735304,elonmusk,And be my love in the rain,0.0,0.588,0.412,0.6369
83,1518234561150427141,elonmusk,(from making fun of Gates for shorting Tesla while claiming to support climate change action),0.0,0.684,0.316,0.7184
84,1518194746052726786,elonmusk,Moving on …,0.0,1.0,0.0,0.0
85,1517716718382166016,elonmusk,shadow ban council reviewing tweet … https://t.co/cawjtwc7CW,0.375,0.625,0.0,-0.5574
86,1517707521343082496,elonmusk,in case u need to lose a boner fast https://t.co/fcHiaXKCJi,0.231,0.769,0.0,-0.4019
87,1517650251926192128,elonmusk,What is best in life?,0.0,0.488,0.512,0.6369
88,1517649402449510401,elonmusk,The Barbarians are at the Gate,0.0,1.0,0.0,0.0
89,1517236891606790144,elonmusk,Believe in the future,0.0,1.0,0.0,0.0
90,1517234911035412481,elonmusk,https://t.co/IOV4tWvyxv,0.0,1.0,0.0,0.0
91,1517234027970899982,elonmusk,https://t.co/TMOnmKBcWQ,0.0,1.0,0.0,0.0
92,1517215736606957573,elonmusk,And authenticate all real humans,0.0,1.0,0.0,0.0
93,1517215066550116354,elonmusk,"If our twitter bid succeeds, we will defeat the spam bots or die trying!",0.423,0.437,0.14,-0.7574
94,1517214299923652609,elonmusk,"Such a joy to work with amazingly talented people at SpaceX, Tesla, Neuralink &amp; Boring Co!",0.1,0.566,0.334,0.7495
95,1516977323576381441,elonmusk,"Please consider working at The Boring Company! 

Our goal is to solve traffic, which plagues every major city on Earth. https://t.co/1tHNhIo7sd",0.093,0.729,0.178,0.2714
96,1516620752040116231,elonmusk,_______ is the Night,0.0,1.0,0.0,0.0
97,1516483038242385928,elonmusk,A social media platform’s policies are good if the most extreme 10% on left and right are equally unhappy,0.123,0.749,0.128,0.0258
98,1516167738909249539,elonmusk,SpaceX Falcon team making great progress! Aiming for 5 day launch cadence with many performance &amp; refurb improvements.,0.0,0.612,0.388,0.8588
99,1516057871108165637,elonmusk,"Why, thank you, sir!  https://t.co/tealJWLSdP",0.0,0.589,0.411,0.4199
100,1515799688296943636,elonmusk,Happy Easter! https://t.co/3gBFlrPOQO,0.0,0.334,0.666,0.6114
101,1515728751912534016,elonmusk,Smooth landing video https://t.co/2K8Z80aB0u,0.0,1.0,0.0,0.0
102,1515405264740134918,elonmusk,🎶 Love Me Tender 🎶,0.0,0.588,0.412,0.6369
103,1515059837448691715,elonmusk,Thanks for the support! https://t.co/nY4nyRfqcl,0.0,0.337,0.663,0.7088
104,1514726980909948928,elonmusk,🤔 https://t.co/PfqYpLiuVd,0.0,1.0,0.0,0.0
105,1514720245113577473,elonmusk,i♥️u,0.0,0.323,0.677,0.6369
106,1514698036760530945,elonmusk,"Taking Twitter private at $54.20 should be up to shareholders, not the board",0.0,1.0,0.0,0.0
107,1514681422212128770,elonmusk,Will endeavor to keep as many shareholders in privatized Twitter as allowed by law,0.0,1.0,0.0,0.0
108,1514564966564651008,elonmusk,"I made an offer 
https://t.co/VvreuPMeLu",0.0,1.0,0.0,0.0
109,1512944276983975936,elonmusk,Weather is fake. I seen Truman Show!,0.361,0.639,0.0,-0.5255
110,1512886651940491270,elonmusk,69.420% of statistics are false,0.0,1.0,0.0,0.0
111,1512886157876600833,elonmusk,Truth is the first casualty. https://t.co/cN9PIfDvjr,0.351,0.412,0.237,-0.2732
112,1512786909315096579,elonmusk,And @justinbieber only posted once this entire year,0.0,1.0,0.0,0.0
113,1512786361983676424,elonmusk,"For example, @taylorswift13 hasn’t posted anything in 3 months",0.0,1.0,0.0,0.0
114,1512785529712123906,elonmusk,"Most of these “top” accounts tweet rarely and post very little content. 

Is Twitter dying? https://t.co/lj9rRXfDHE",0.0,1.0,0.0,0.0
115,1512771744720994304,elonmusk,Interesting https://t.co/LmviLXMkHK,0.0,0.27,0.73,0.4019
116,1512382427876007940,elonmusk,"Great work by Tesla Texas Team!!

Built &amp; delivered first Giga Texas production cars &amp; threw a killer opening party 💥💫 🚘",0.265,0.542,0.194,-0.3578
117,1512244590874710023,elonmusk,Show starts in ~20 mins https://t.co/VVT69WSkNH,0.0,1.0,0.0,0.0
118,1511982702819520512,elonmusk,https://t.co/TW2lLQakE5,0.0,1.0,0.0,0.0
119,1511982141965586434,elonmusk,https://t.co/wcW6Z1MNNd,0.0,1.0,0.0,0.0
120,1511951232117604354,elonmusk,https://t.co/ft2zujMvkK,0.0,1.0,0.0,0.0
121,1511950918366814211,elonmusk,Preparing … https://t.co/Rb21R1ZDhN,0.0,1.0,0.0,0.0
122,1511950430539902976,elonmusk,https://t.co/wvJ66Yr1Wj,0.0,1.0,0.0,0.0
123,1511940411685801984,elonmusk,I will give a talk around 9,0.0,1.0,0.0,0.0
124,1511939175934742531,elonmusk,"🇺🇸🇺🇸 Gigafactory Texas 🇺🇸🇺🇸

Grand opening party tomorrow!

Doors open at 4, festivities at 8",0.0,0.569,0.431,0.8439
125,1511143607385874434,elonmusk,Do you want an edit button?,0.0,0.794,0.206,0.0772
126,1511011921495011328,elonmusk,Oh hi lol,0.0,0.417,0.583,0.4215
127,1510711332366131209,elonmusk,Berlin rocks,0.0,1.0,0.0,0.0
128,1510546313276014594,elonmusk,https://t.co/VlIZsJyH4F,0.0,1.0,0.0,0.0
129,1510510978286428163,elonmusk,"I am inspired by curiosity. 

That is what drives me. 

So let us expand the scope &amp; scale of consciousness so that we may aspire to understand the Universe.",0.0,0.824,0.176,0.6969
130,1510502229219938306,elonmusk,Peace. Peace?  I hate the word. Those who do care about peace (myself aspirationally included) don’t need to hear it. And those who don’t care about peace? Well …,0.078,0.442,0.481,0.9593
131,1510493628979888130,elonmusk,https://t.co/MWjY9GBRUh,0.0,1.0,0.0,0.0
132,1510482294309535745,elonmusk,https://t.co/6UIhHHtQyc,0.0,1.0,0.0,0.0
133,1510481875160158208,elonmusk,I’m talking about not having kids in the first place. That’s the problem.,0.184,0.816,0.0,-0.4019
134,1510480256905404418,elonmusk,But we should,0.0,1.0,0.0,0.0
135,1510479915711352838,elonmusk,Humanity did not evolve to mourn the unborn,0.0,0.75,0.25,0.3252
136,1510449836633604100,elonmusk,They wrote PEACE on the wall at Berghain! I refused enter.,0.14,0.572,0.288,0.5147
137,1510435828841000960,elonmusk,https://t.co/lxZU9GZd9n,0.0,1.0,0.0,0.0
138,1510435042694250499,elonmusk,https://t.co/l8Ryq7nN38,0.0,1.0,0.0,0.0
139,1510427915657351179,elonmusk,https://t.co/uOC3j4fYV0,0.0,1.0,0.0,0.0
140,1509690744746905638,elonmusk,To think I grew up 2b bizniz magnet 🤩 https://t.co/usbPI0aSrY,0.0,1.0,0.0,0.0
141,1508983155205804038,elonmusk,Sustainable energy generation from sun &amp; wind is making great progress! https://t.co/hL6gp6SVQX,0.0,0.492,0.508,0.8516
142,1508565936449622018,elonmusk,"Starlink 🛰 team too! Expecting over 4200 Starlink satellites in operation within 18 months, which is ~2/3 of all active satellites of Earth.",0.0,0.88,0.12,0.4574
143,1508540042817376256,elonmusk,SpaceX Falcon 🚀 team is making excellent progress – aiming for 60 launches this year!,0.0,0.657,0.343,0.7777
144,1508375633054760962,elonmusk,We’ve all been there,0.0,1.0,0.0,0.0
145,1508367467269136387,elonmusk,https://t.co/Uwx8UzpiXo,0.0,1.0,0.0,0.0
146,1508356357967122434,elonmusk,"Covid-19 is the virus of Theseus.

How many gene changes before it’s not Covid-19 anymore?

I supposedly have it again (sigh), but almost no symptoms.",0.089,0.871,0.04,-0.3205
147,1508111817079341056,elonmusk,Seize the memes of production!,0.0,1.0,0.0,0.0
148,1507777913042571267,elonmusk,Is a new platform needed?,0.0,1.0,0.0,0.0
149,1507777261654605828,elonmusk,"Given that Twitter serves as the de facto public town square, failing to adhere to free speech principles fundamentally undermines democracy. 

What should be done? https://t.co/aPS9ycji37",0.178,0.719,0.103,-0.34
150,1507596559831101446,elonmusk,https://t.co/SXKc1jJwmw,0.0,1.0,0.0,0.0
151,1507272763597373461,elonmusk,The consequences of this poll will be important. Please vote carefully.,0.0,0.588,0.412,0.5574
152,1507259709224632344,elonmusk,"Free speech is essential to a functioning democracy.

Do you believe Twitter rigorously adheres to this principle?",0.071,0.761,0.168,0.4404
153,1507164164208402435,elonmusk,https://t.co/9MC6DHlNzb,0.0,1.0,0.0,0.0
154,1507162047171153925,elonmusk,"Old, but good https://t.co/SmA9MueqBa",0.0,0.438,0.562,0.5927
155,1507144087689912320,elonmusk,Most people think the fruit was named after the color (fools!) https://t.co/snrsV9nXYb,0.241,0.759,0.0,-0.5411
156,1507143572226772993,elonmusk,The movie Gaslight has gaslit so many people it’s insane,0.231,0.769,0.0,-0.4019
157,1507091587041484805,elonmusk,♥️♥️ NASA ♥️♥️ https://t.co/Y9vsbLpOqh,0.0,0.263,0.737,0.9571
158,1507041396242407424,elonmusk,Twitter algorithm should be open source,0.0,1.0,0.0,0.0
159,1506262079963111440,elonmusk,🇩🇪🇩🇪 Danke Deutschland!! 🇩🇪🇩🇪,0.0,1.0,0.0,0.0
160,1505977175488483339,elonmusk,Excited to hand over the first production cars made by Giga Berlin-Brandenburg tomorrow!,0.0,0.651,0.349,0.7088
161,1505100708256825347,elonmusk,https://t.co/qZSX2up9W0,0.0,1.0,0.0,0.0
162,1505058886130311169,elonmusk,Also the heaviest Falcon 9 payload at 16.25 metric tons,0.0,1.0,0.0,0.0
163,1505058536857997314,elonmusk,https://t.co/xjZSweoEE2 https://t.co/W4He1AVV3S,0.0,1.0,0.0,0.0
164,1505022792554663944,elonmusk,As it ends the cycle of retribution,0.0,1.0,0.0,0.0
165,1505022319915421696,elonmusk,"The limbic instinct for vengeance is incredibly strong, which is why turn the other cheek is such a powerful idea",0.0,0.738,0.262,0.7501
166,1504351035560763395,elonmusk,"I have so much respect for the associates doing an honest day’s work at Tesla or SpaceX building &amp; servicing cars, rockets, Starlinks, batteries, solar &amp; many other things",0.0,0.802,0.198,0.7703
167,1504349978487324672,elonmusk,Working hard to make useful products &amp; services for your fellow humans is deeply morally good,0.068,0.635,0.297,0.6887
168,1504311459924398083,elonmusk,Working on Master Plan Part 3,0.0,1.0,0.0,0.0
169,1503831484523819011,elonmusk,"Thank you for the offer, but such excellent training would give me too much of an advantage. 

If he is afraid to fight, I will agree to use only my left hand and I am not even left-handed.

Elona",0.064,0.62,0.316,0.9253
170,1503828461235982339,elonmusk,"Telegram post by Ramzan Kadyrov, head of Chechen Republic! https://t.co/UyByR9kywq",0.0,1.0,0.0,0.0
171,1503533028127264772,elonmusk,Congratulations SpaceX team for all that you have accomplished! https://t.co/mtRWrPnGGF,0.0,0.53,0.47,0.7959
172,1503338552016482308,elonmusk,Вы согласны на этот бой? @KremlinRussia_E,0.0,1.0,0.0,0.0
173,1503327421839417344,elonmusk,"I hereby challenge
Владимир Путин 
to single combat

Stakes are Україна",0.189,0.709,0.102,-0.2732
174,1503322032477552641,elonmusk,By the pricking of my thumbs …,0.241,0.759,0.0,-0.2263
175,1503305538356011009,elonmusk,There is a beauty to the biological substrate,0.0,0.648,0.352,0.5859
176,1503287788652871680,elonmusk,https://t.co/Gw6xaw1u0N,0.0,1.0,0.0,0.0
177,1503276966874595330,elonmusk,https://t.co/CfoJ3qdCRJ,0.0,1.0,0.0,0.0
178,1503186160524439557,elonmusk,And we are not alone https://t.co/1RpsIbGWMl,0.0,0.742,0.258,0.1877
179,1503184467397128194,elonmusk,Tesla &amp; SpaceX are seeing significant recent inflation pressure in raw materials &amp; logistics,0.138,0.75,0.113,-0.1027
180,1503123611988766730,elonmusk,What are your thoughts about probable inflation rate over next few years?,0.0,1.0,0.0,0.0
181,1502963281249673221,elonmusk,Fifteen Decisive Battles of the World,0.306,0.471,0.224,-0.1779
182,1501558771293765636,elonmusk,Another 48 Starlinks just reached orbit https://t.co/BLb2x69lvQ,0.0,0.811,0.189,0.1027
183,1501449525831081987,elonmusk,https://t.co/e3kFCmREaC,0.0,1.0,0.0,0.0
184,1500740461115461632,elonmusk,"You are my favorite hello,
And my hardest goodbye.",0.0,0.727,0.273,0.4588
185,1500621510188285956,elonmusk,Also nuclear is vastly better for global warming than burning hydrocarbons for energy,0.0,0.602,0.398,0.6808
186,1500615542758985728,elonmusk,"For those who (mistakenly) think this is a radiation risk, pick what you think is the worst location. I will travel there &amp; eat locally grown food on TV.

I did this in Japan many years ago, shortly after Fukushima. Radiation risk is much, much lower than most people believe.",0.22,0.78,0.0,-0.8934
187,1500613952031444995,elonmusk,"Hopefully, it is now extremely obvious that Europe should restart dormant nuclear power stations and increase power output of existing ones. 

This is *critical* to national and international security.",0.066,0.72,0.213,0.6249
188,1500475796623749120,elonmusk,"Self-driving car will amplify traffic to insane levels, as you won’t feel the pain of driving yourself",0.286,0.714,0.0,-0.7184
189,1500472879724392448,elonmusk,Defeating traffic is the ultimate boss battle. Even the most powerful humans in the world cannot defeat traffic.,0.21,0.565,0.225,0.0959
190,1500330068228280321,elonmusk,Even some of the best AI software engineers in the world don’t realize how advanced Tesla AI has become,0.0,0.733,0.267,0.7351
191,1500316700922757123,elonmusk,https://t.co/UrldeBBwEc,0.0,1.0,0.0,0.0
192,1499976967105433600,elonmusk,"Starlink has been told by some governments (not Ukraine) to block Russian news sources. We will not do so unless at gunpoint.

Sorry to be a free speech absolutist.",0.039,0.788,0.173,0.6604
193,1499972826828259328,elonmusk,"SpaceX reprioritized to cyber defense &amp; overcoming signal jamming. 

Will cause slight delays in Starship &amp; Starlink V2.",0.0,0.919,0.081,0.128
194,1499918115018313728,elonmusk,"And also my sympathies to the great people of Russia, who do not want this",0.067,0.71,0.224,0.5964
195,1499917894767063043,elonmusk,🇺🇦🇺🇦🇺🇦 Hold Strong Ukraine 🇺🇦🇺🇦🇺🇦,0.0,0.548,0.452,0.5106
196,1499909806504779779,elonmusk,"Obviously, this would negatively affect Tesla, but sustainable energy solutions simply cannot react instantaneously to make up for Russian oil &amp; gas exports.",0.0,0.817,0.183,0.5719
197,1499907549746937860,elonmusk,"Hate to say it, but we need to increase oil &amp; gas output immediately. 

Extraordinary times demand extraordinary measures.",0.178,0.694,0.128,-0.0387
198,1499472139333746691,elonmusk,"Important warning: Starlink is the only non-Russian communications system still working in some parts of Ukraine, so probability of being targeted is high. Please use with caution.",0.079,0.787,0.134,0.1779
199,1496252264171941888,elonmusk,https://t.co/OrLV2c3qy2,0.0,1.0,0.0,0.0
200,1527347447822815232,elonmusk,https://t.co/fdy0nedGMs,0.0,1.0,0.0,0.0
201,1527344969471520768,elonmusk,https://t.co/4W8COjWv16,0.0,1.0,0.0,0.0
202,1527343513867735042,elonmusk,Wise words https://t.co/NTGIukXPgM,0.0,0.392,0.608,0.4767
203,1527341913736564755,elonmusk,"Good night, sweet maestro, and flights of angels sing thee to thy rest https://t.co/sqiY8iHS41",0.0,0.67,0.33,0.7096
204,1527317718931677186,elonmusk,"This is what most people in America want, but unfortunately it’s not realistic. 

Generally, the party with less power (currently Republicans at national level) moves more toward center to win moderate votes, so control of House/Senate/President goes back &amp; forth over time.",0.061,0.745,0.194,0.7783
205,1527315290132185088,elonmusk,A party more moderate on all issues than either Reps or Dems would be ideal,0.0,0.681,0.319,0.7269
206,1527297765599981574,elonmusk,"Judging by the relentless hatestream from the far left, this tweet was spot on",0.0,0.915,0.085,0.0516
207,1527397380001234944,elonmusk,https://t.co/UZKs5s6BZJ,0.0,1.0,0.0,0.0
